"ID","validFrom","validTo","longitude","latitude","name","description","image","number","orderBy","isKidFriendly","isElderlyFriendly","isStrollerFriendly","hasVisited","hasToilet","hasFood","myAdjacentStamp","targetForAdjacentStamp","Stampings","groupFilterStampings","groupSize","totalGroupStampings","stampedUserIds","stampedUsers"
"8d6a69ad-5b1c-4465-83b6-578c330499e4","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.30147999999997","51.7462","Eselsplatz","Eselsplatz ~ this will come later: make a get request",,"140","140",,,,,,,,,,,,,,
"11773905-bc38-488c-a26b-24f9219e5ad2","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.313830000000053","51.76632","Kuckholzklippe","Kuckholzklippe ~ this will come later: make a get request",,"139","139",,,,,,,,,,,,,,
"ba46e59a-6438-44db-a364-f830b1485ec7","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.355230000000006","51.76677","Braunseck","Braunseck ~ this will come later: make a get request",,"138","138",,,,,,,,,,,,,,
"309ae0f7-08ce-4b39-88ee-4e457cfe56bf","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.350999999999999","51.77606","Bärenbrucher Teich","Bärenbrucher Teich ~ this will come later: make a get request",,"137","137",,,,,,,,,,,,,,
"25b59ec4-3d95-45c8-a62e-0c7f6c1a14ee","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.586419999999976","51.78772","Eckersprung","Eckersprung ~ this will come later: make a get request",,"136","136",,,,,,,,,,,,,,
"b922318b-72f6-4a89-9156-9a306615bae3","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.48783000000003","51.80347","Förster-Ludewig-Platz","Förster-Ludewig-Platz ~ this will come later: make a get request",,"133","133",,,,,,,,,,,,,,
"10f4a936-d821-47ef-8c61-24a958b39b63","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.445580000000064","51.80594","Schwarzenberg, Köte Brockenblick","Schwarzenberg, Köte Brockenblick ~ this will come later: make a get request",,"132","132",,,,,,,,,,,,,,
"f5467328-5bf9-4b36-8636-f74e8aace33f","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.275730000000067","51.79208","Kaysereiche (Schutzhütte)","Kaysereiche (Schutzhütte) ~ this will come later: make a get request",,"131","131",,,,,,,,,,,,,,
"1c511fdb-0d41-4fcf-9adc-f26a958ee444","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.245200000000068","51.81987","Iberger Albertturm","Iberger Albertturm ~ this will come later: make a get request",,"130","130",,,,,,,,,,,,,,
"336c71aa-c352-4191-b54c-afe53a8584e9","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.22503000000006","51.81926","Hütte im WeltWald Harz","Hütte im WeltWald Harz ~ this will come later: make a get request",,"129","129",,,,,,,,,,,,,,
